"","match.id","series.id","duration..s.","mode","map","team","win.","score","player","kills","deaths","X...","k.d","kills.per.10min","deaths.per.10min","player.score","player.spm","damage.dealt","event"
"277","eUnited_Thieves_Arsenal_HP_4","eu100t",562,"Hardpoint","Arsenal","eUnited","W",250,"Prestinni",20,20,0,1,21.35,21.35,3045,325.09,4102,"Vegas"
"278","eUnited_Thieves_Arsenal_HP_4","eu100t",562,"Hardpoint","Arsenal","Thieves","L",136,"Octane",14,23,-9,0.61,14.95,24.56,2125,226.87,2827,"Vegas"
"279","eUnited_Thieves_Arsenal_HP_4","eu100t",562,"Hardpoint","Arsenal","Thieves","L",136,"Kenny",15,25,-10,0.6,16.01,26.69,2550,272.24,3734,"Vegas"
"280","eUnited_Thieves_Arsenal_HP_4","eu100t",562,"Hardpoint","Arsenal","Thieves","L",136,"Enable",15,22,-7,0.68,16.01,23.49,2850,304.27,3638,"Vegas"
"281","eUnited_Thieves_Arsenal_SND_2","eu100t",NA,"Search & Destroy","Arsenal","eUnited","W",6,"JKap",6,8,-2,0.75,NA,NA,1400,NA,1383,"Vegas"
"282","eUnited_Thieves_Arsenal_SND_2","eu100t",NA,"Search & Destroy","Arsenal","eUnited","W",6,"Clayster",11,7,4,1.57,NA,NA,1435,NA,2051,"Vegas"
"283","eUnited_Thieves_Arsenal_SND_2","eu100t",NA,"Search & Destroy","Arsenal","eUnited","W",6,"Prestinni",6,9,-3,0.67,NA,NA,895,NA,1117,"Vegas"
"284","eUnited_Thieves_Arsenal_SND_2","eu100t",NA,"Search & Destroy","Arsenal","eUnited","W",6,"Arcitys",6,8,-2,0.75,NA,NA,1075,NA,1653,"Vegas"
"285","eUnited_Thieves_Arsenal_SND_2","eu100t",NA,"Search & Destroy","Arsenal","eUnited","W",6,"Abezy",10,9,1,1.11,NA,NA,1595,NA,2097,"Vegas"
"286","eUnited_Thieves_Arsenal_SND_2","eu100t",NA,"Search & Destroy","Arsenal","Thieves","L",5,"Fero",8,7,1,1.14,NA,NA,1070,NA,1949,"Vegas"
"287","eUnited_Thieves_Arsenal_SND_2","eu100t",NA,"Search & Destroy","Arsenal","Thieves","L",5,"Kenny",8,8,0,1,NA,NA,1200,NA,1555,"Vegas"
"288","eUnited_Thieves_Arsenal_SND_2","eu100t",NA,"Search & Destroy","Arsenal","Thieves","L",5,"Octane",6,8,-2,0.75,NA,NA,1020,NA,1521,"Vegas"
"289","eUnited_Thieves_Arsenal_SND_2","eu100t",NA,"Search & Destroy","Arsenal","Thieves","L",5,"Enable",10,8,2,1.25,NA,NA,1575,NA,1622,"Vegas"
"290","eUnited_Thieves_Arsenal_SND_2","eu100t",NA,"Search & Destroy","Arsenal","Thieves","L",5,"Slasher",11,7,4,1.57,NA,NA,2075,NA,3318,"Vegas"
"291","eUnited_Thieves_Frequency_HP_1","eu100t",378,"Hardpoint","Frequency","Thieves","L",46,"Slasher",8,20,-12,0.4,12.7,31.75,900,142.86,2649,"Vegas"
"292","eUnited_Thieves_Frequency_HP_1","eu100t",378,"Hardpoint","Frequency","Thieves","L",46,"Octane",11,20,-9,0.55,17.46,31.75,1490,236.51,2433,"Vegas"
"293","eUnited_Thieves_Frequency_HP_1","eu100t",378,"Hardpoint","Frequency","eUnited","W",250,"Clayster",19,14,5,1.36,30.16,22.22,3420,542.86,4548,"Vegas"
"294","eUnited_Thieves_Frequency_HP_1","eu100t",378,"Hardpoint","Frequency","Thieves","L",46,"Enable",12,18,-6,0.67,19.05,28.57,1775,281.75,2465,"Vegas"
"295","eUnited_Thieves_Frequency_HP_1","eu100t",378,"Hardpoint","Frequency","Thieves","L",46,"Kenny",14,17,-3,0.82,22.22,26.98,2335,370.63,2818,"Vegas"
"296","eUnited_Thieves_Frequency_HP_1","eu100t",378,"Hardpoint","Frequency","Thieves","L",46,"Fero",11,19,-8,0.58,17.46,30.16,1255,199.21,2493,"Vegas"
