"","match.id","player","series.id","end.time","duration..s.","mode","map","team","win.","score","kills","deaths","X...","k.d","kills.per.10min","deaths.per.10min","player.score","player.spm","damage.dealt","ekia","assists","headshots","suicides","team.kills","team.deaths","kills..stayed.alive.","hits","shots","accuracy....","num.lives","time.alive..s.","avg.time.per.life..s.","fave.weapon","fave.specialist","fave.scorestreaks","hill.time..s.","hill.captures","hill.defends","snd.rounds","snd.firstbloods","snd.firstdeaths","snd.survives","bomb.pickups","bomb.plants","bomb.defuses","bomb.sneak.defuses","snd.1.kill.round","snd.2.kill.round","snd.3.kill.round","snd.4.kill.round","ctrl.rounds","ctrl.firstbloods","ctrl.firstdeaths","ctrl.captures","X2.piece","X3.piece","X4.piece","X4.streak","X5.streak","X6.streak","X7.streak","X8..streak","event"
"971","12521894013985961535","Accuracy","pro-w3-10","2019-02-21 01:46:51 UTC",700,"Hardpoint","Hacienda","Splyce","W",250,22,25,-3,0.88,18.9,21.4,5320,456,5948,42,20,1,0,2,1,0,0,0,"0.0%",27,0,"0.0","ICR-7","",NA,138,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,"Pro League"
"972","12521894013985961535","Aches","pro-w3-10","2019-02-21 01:46:51 UTC",700,"Hardpoint","Hacienda","Team Envy","L",235,17,33,-16,0.52,14.6,28.3,3585,307.3,4461,28,13,2,0,0,0,0,0,0,"0.0%",34,0,"0.0","Maddox RFB","",NA,47,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"Pro League"
"973","12521894013985961535","Apathy","pro-w3-10","2019-02-21 01:46:51 UTC",700,"Hardpoint","Hacienda","Team Envy","L",235,28,24,4,1.17,24,20.6,4680,401.1,4675,36,11,5,0,0,0,0,0,0,"0.0%",25,0,"0.0","Saug 9mm","",NA,83,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,0,0,0,"Pro League"
"974","12521894013985961535","Aqua","pro-w3-10","2019-02-21 01:46:51 UTC",700,"Hardpoint","Hacienda","Splyce","W",250,30,25,5,1.2,25.7,21.4,4640,397.7,5015,36,7,1,0,0,0,0,0,0,"0.0%",26,0,"0.0","Maddox RFB","",NA,77,45,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,"Pro League"
"975","12521894013985961535","Assault","pro-w3-10","2019-02-21 01:46:51 UTC",700,"Hardpoint","Hacienda","Team Envy","L",235,21,25,-4,0.84,18,21.4,3955,339,4309,30,10,1,0,0,0,0,0,0,"0.0%",26,0,"0.0","ICR-7","",NA,93,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Pro League"
"976","12521894013985961535","Huke","pro-w3-10","2019-02-21 01:46:51 UTC",700,"Hardpoint","Hacienda","Team Envy","L",235,33,23,10,1.43,28.3,19.7,5065,434.1,6410,45,14,0,0,0,0,0,0,0,"0.0%",24,0,"0.0","Saug 9mm","",NA,58,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,1,"Pro League"
"977","12521894013985961535","Jurd","pro-w3-10","2019-02-21 01:46:51 UTC",700,"Hardpoint","Hacienda","Splyce","W",250,27,22,5,1.23,23.1,18.9,4680,401.1,5078,38,11,2,0,1,1,0,0,0,"0.0%",24,0,"0.0","Saug 9mm","",NA,46,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,"Pro League"
"978","12521894013985961535","Loony","pro-w3-10","2019-02-21 01:46:51 UTC",700,"Hardpoint","Hacienda","Splyce","W",250,26,24,2,1.08,22.3,20.6,4530,388.3,5539,37,13,1,0,0,1,0,0,0,"0.0%",26,0,"0.0","Maddox RFB","",NA,55,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,"Pro League"
"979","12521894013985961535","Silly","pro-w3-10","2019-02-21 01:46:51 UTC",700,"Hardpoint","Hacienda","Team Envy","L",235,27,32,-5,0.84,23.1,27.4,4730,405.4,5068,35,11,2,0,0,0,0,0,0,"0.0%",33,0,"0.0","Maddox RFB","",NA,98,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,"Pro League"
"980","12521894013985961535","Temp","pro-w3-10","2019-02-21 01:46:51 UTC",700,"Hardpoint","Hacienda","Splyce","W",250,32,30,2,1.07,27.4,25.7,5190,444.9,6060,44,12,2,0,0,0,0,0,0,"0.0%",31,0,"0.0","Maddox RFB","",NA,61,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,"Pro League"
