id,event,setting,mode,map,team,spec,player,player_score,kills,deaths,obj1,obj2,team_score,opponent,opponent_score
MLG_Anaheim_Lethal Gaming_OpTic Gaming_Uplink_Infection,MLG_Anaheim,LAN,Uplink,Infection,Lethal Gaming,NA,Miyagi,NA,21,25,0,NA,4,OpTic Gaming,6
MLG_Anaheim_Lethal Gaming_OpTic Gaming_Uplink_Infection,MLG_Anaheim,LAN,Uplink,Infection,Lethal Gaming,NA,Mochila,NA,25,23,0,NA,4,OpTic Gaming,6
MLG_Anaheim_OpTic Gaming_Lethal Gaming_Uplink_Infection,MLG_Anaheim,LAN,Uplink,Infection,OpTic Gaming,NA,Crimsix,NA,18,22,1,NA,6,Lethal Gaming,4
MLG_Anaheim_OpTic Gaming_Lethal Gaming_Uplink_Infection,MLG_Anaheim,LAN,Uplink,Infection,OpTic Gaming,NA,Karma,NA,34,21,0,NA,6,Lethal Gaming,4
MLG_Anaheim_OpTic Gaming_Lethal Gaming_Uplink_Infection,MLG_Anaheim,LAN,Uplink,Infection,OpTic Gaming,NA,Scump,NA,19,18,1,NA,6,Lethal Gaming,4
MLG_Anaheim_OpTic Gaming_Lethal Gaming_Uplink_Infection,MLG_Anaheim,LAN,Uplink,Infection,OpTic Gaming,NA,Formal,NA,22,22,0,NA,6,Lethal Gaming,4
MLG_Anaheim_Lethal Gaming_OpTic Gaming_Capture the Flag_Stronghold,MLG_Anaheim,LAN,Capture the Flag,Stronghold,Lethal Gaming,NA,Johnny,NA,16,22,0,NA,2,OpTic Gaming,3
MLG_Anaheim_Lethal Gaming_OpTic Gaming_Capture the Flag_Stronghold,MLG_Anaheim,LAN,Capture the Flag,Stronghold,Lethal Gaming,NA,Examples,NA,18,13,1,NA,2,OpTic Gaming,3
MLG_Anaheim_Lethal Gaming_OpTic Gaming_Capture the Flag_Stronghold,MLG_Anaheim,LAN,Capture the Flag,Stronghold,Lethal Gaming,NA,Miyagi,NA,10,16,0,NA,2,OpTic Gaming,3
MLG_Anaheim_Lethal Gaming_OpTic Gaming_Capture the Flag_Stronghold,MLG_Anaheim,LAN,Capture the Flag,Stronghold,Lethal Gaming,NA,Mochila,NA,23,17,1,NA,2,OpTic Gaming,3
MLG_Anaheim_OpTic Gaming_Lethal Gaming_Capture the Flag_Stronghold,MLG_Anaheim,LAN,Capture the Flag,Stronghold,OpTic Gaming,NA,Crimsix,NA,14,18,1,NA,3,Lethal Gaming,2
MLG_Anaheim_OpTic Gaming_Lethal Gaming_Capture the Flag_Stronghold,MLG_Anaheim,LAN,Capture the Flag,Stronghold,OpTic Gaming,NA,Karma,NA,18,16,1,NA,3,Lethal Gaming,2
MLG_Anaheim_OpTic Gaming_Lethal Gaming_Capture the Flag_Stronghold,MLG_Anaheim,LAN,Capture the Flag,Stronghold,OpTic Gaming,NA,Scump,NA,13,15,0,NA,3,Lethal Gaming,2
MLG_Anaheim_OpTic Gaming_Lethal Gaming_Capture the Flag_Stronghold,MLG_Anaheim,LAN,Capture the Flag,Stronghold,OpTic Gaming,NA,Formal,NA,23,18,1,NA,3,Lethal Gaming,2
MLG_Anaheim_Rise Nation_Team Infused_Hardpoint_Evac,MLG_Anaheim,LAN,Hardpoint,Evac,Rise Nation,NA,Classic,NA,46,37,154,NA,242,Team Infused,250
MLG_Anaheim_Rise Nation_Team Infused_Hardpoint_Evac,MLG_Anaheim,LAN,Hardpoint,Evac,Rise Nation,NA,Loony,NA,32,34,47,NA,242,Team Infused,250
MLG_Anaheim_Rise Nation_Team Infused_Hardpoint_Evac,MLG_Anaheim,LAN,Hardpoint,Evac,Rise Nation,NA,Octane,NA,29,34,93,NA,242,Team Infused,250
MLG_Anaheim_Rise Nation_Team Infused_Hardpoint_Evac,MLG_Anaheim,LAN,Hardpoint,Evac,Rise Nation,NA,Slacked,NA,35,35,71,NA,242,Team Infused,250
MLG_Anaheim_Team Infused_Rise Nation_Hardpoint_Evac,MLG_Anaheim,LAN,Hardpoint,Evac,Team Infused,NA,Peatie,NA,23,38,94,NA,250,Rise Nation,242
MLG_Anaheim_Team Infused_Rise Nation_Hardpoint_Evac,MLG_Anaheim,LAN,Hardpoint,Evac,Team Infused,NA,MarkyB,NA,34,34,127,NA,250,Rise Nation,242
MLG_Anaheim_Team Infused_Rise Nation_Hardpoint_Evac,MLG_Anaheim,LAN,Hardpoint,Evac,Team Infused,NA,Zer0,NA,43,37,42,NA,250,Rise Nation,242
MLG_Anaheim_Team Infused_Rise Nation_Hardpoint_Evac,MLG_Anaheim,LAN,Hardpoint,Evac,Team Infused,NA,Urban,NA,40,38,86,NA,250,Rise Nation,242
MLG_Anaheim_Team Infused_Rise Nation_Search and Destroy_Fringe,MLG_Anaheim,LAN,Search and Destroy,Fringe,Team Infused,NA,Peatie,NA,6,6,5,NA,6,Rise Nation,4
MLG_Anaheim_Team Infused_Rise Nation_Search and Destroy_Fringe,MLG_Anaheim,LAN,Search and Destroy,Fringe,Team Infused,NA,MarkyB,NA,11,5,0,NA,6,Rise Nation,4
MLG_Anaheim_Team Infused_Rise Nation_Search and Destroy_Fringe,MLG_Anaheim,LAN,Search and Destroy,Fringe,Team Infused,NA,Zer0,NA,6,8,0,NA,6,Rise Nation,4
MLG_Anaheim_Team Infused_Rise Nation_Search and Destroy_Fringe,MLG_Anaheim,LAN,Search and Destroy,Fringe,Team Infused,NA,Urban,NA,6,8,0,NA,6,Rise Nation,4
MLG_Anaheim_Rise Nation_Team Infused_Search and Destroy_Fringe,MLG_Anaheim,LAN,Search and Destroy,Fringe,Rise Nation,NA,Classic,NA,7,8,1,NA,4,Team Infused,6
MLG_Anaheim_Rise Nation_Team Infused_Search and Destroy_Fringe,MLG_Anaheim,LAN,Search and Destroy,Fringe,Rise Nation,NA,Loony,NA,7,8,0,NA,4,Team Infused,6
MLG_Anaheim_Rise Nation_Team Infused_Search and Destroy_Fringe,MLG_Anaheim,LAN,Search and Destroy,Fringe,Rise Nation,NA,Octane,NA,6,6,1,NA,4,Team Infused,6
MLG_Anaheim_Rise Nation_Team Infused_Search and Destroy_Fringe,MLG_Anaheim,LAN,Search and Destroy,Fringe,Rise Nation,NA,Slacked,NA,5,8,0,NA,4,Team Infused,6
MLG_Anaheim_Rise Nation_Team Infused_Uplink_Infection,MLG_Anaheim,LAN,Uplink,Infection,Rise Nation,NA,Classic,NA,16,23,2,NA,16,Team Infused,7
MLG_Anaheim_Rise Nation_Team Infused_Uplink_Infection,MLG_Anaheim,LAN,Uplink,Infection,Rise Nation,NA,Loony,NA,25,21,2,NA,16,Team Infused,7
MLG_Anaheim_Rise Nation_Team Infused_Uplink_Infection,MLG_Anaheim,LAN,Uplink,Infection,Rise Nation,NA,Octane,NA,33,18,0,NA,16,Team Infused,7
MLG_Anaheim_Rise Nation_Team Infused_Uplink_Infection,MLG_Anaheim,LAN,Uplink,Infection,Rise Nation,NA,Slacked,NA,20,19,0,NA,16,Team Infused,7
MLG_Anaheim_Team Infused_Rise Nation_Uplink_Infection,MLG_Anaheim,LAN,Uplink,Infection,Team Infused,NA,Peatie,NA,22,26,0,NA,7,Rise Nation,16
MLG_Anaheim_Team Infused_Rise Nation_Uplink_Infection,MLG_Anaheim,LAN,Uplink,Infection,Team Infused,NA,MarkyB,NA,18,24,0,NA,7,Rise Nation,16
